,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
22,59373.83531118827,2946.0128776622096,278.9500767563978,59378.640823163434,2113.316023738873,403.79876353394604,59375.689704892815,4419.410569105692,480.8144852332277,59376.67284331892,4713.619107877255,484.2338609118107
23,59373.84049334093,3119.2009245501085,292.17454379563947,59378.6503948313,3216.8026706231467,396.70408482244403,59378.684033451886,2639.837398373985,277.275413456886,59376.67799052913,4512.812401138882,424.7281075504011
24,59373.845675493605,3047.8784877001817,295.7529616927023,59378.71739650634,9492.396142433234,369.6524676101158,59378.684033451886,2438.617886178863,263.22750819682176,59376.68828494955,4664.1094590319535,406.5174989750699
25,59373.85085764627,3180.617467393098,288.2580040743591,59734.72122517348,2419.5103857566774,379.7629241731741,59378.68883975776,1748.0691056910573,282.9560575474297,59376.68828494955,3877.9658335969643,403.82161953344627
26,59373.856039798935,3043.7510318639597,293.77256058536943,59734.72601100741,3778.004451038576,356.8873531016528,59378.77535326348,4387.703252032521,321.5201899522588,59376.693432159766,3776.2575134451135,318.1134378784441
27,59373.856039798935,2849.59550932805,309.09043367895225,59734.735582675276,3116.283382789319,356.20913488964703,59378.78015956935,3412.906504065041,345.9103959200953,59376.69857936998,3350.2056311293904,326.6992279525985
28,59373.8612219516,3228.9912497936275,294.0268803193276,,,,59378.784965875224,5429.674796747969,316.9957824895421,59376.70372658019,3577.03258462512,312.6319219915037
29,59376.77359175002,10231.467723295358,533.1121301218097,,,,59521.40248005383,4874.898373983741,334.0356865268862,59376.70372658019,3750.632711167353,414.8162828007681
30,59376.77877390268,9695.228661053325,555.3164200551353,,,,59521.412092665574,4779.4715447154485,316.6978972864992,59376.71916821083,2550.53780449225,451.571143117693
31,59376.78395605535,10104.342083539705,507.7964043989596,,,,59521.412092665574,5012.906504065042,361.6328784975818,59379.709697344035,2010.5188231572292,247.62114059270942
32,59376.78913820801,9948.81954763084,488.259674907621,,,,59728.78015956935,2226.9308943089436,376.31990889093424,59379.71484455425,2143.941790572604,268.39717880757155
33,59376.78913820801,10298.497606075613,497.2269958153951,,,,59728.784965875224,2080.4878048780492,410.78354430898077,59379.80234712786,3075.7671622904154,311.28940641527697
34,59376.79432036068,9197.457487204885,472.7749990141276,,,,59728.784965875224,1935.0609756097565,457.35024253901224,59379.80749433807,2609.6962986396716,292.6766614985181
35,59376.79950251335,8912.49793627208,484.5040057343431,,,,,,,59492.41815935763,4301.40778234736,417.7557708579052
36,59376.804684666015,9058.609872874358,471.486010144665,,,,,,,59492.42330656784,4849.731097753877,364.95074445475456
37,59376.804684666015,8999.669803533101,458.166649590724,,,,,,,59492.42845377805,4152.246124644102,373.802627530549
38,59376.80986681868,8529.304936437178,519.7870721391772,,,,,,,59492.43360098826,3824.5808288516305,417.5906146799093
39,59376.815048971344,7463.595839524516,618.0183210087328,,,,,,,59492.43360098826,4191.711483707689,409.9891390676754
40,59376.82023112401,8196.96219250454,570.4248743494719,,,,,,,59519.430718550546,4179.848149319837,298.5428524944343
41,59376.86687049801,4691.266303450553,570.2740490718811,,,,,,,59519.430718550546,5336.602341031321,305.3780424246923
42,59376.86687049801,4638.765065213802,553.709375336923,,,,,,,59519.43586576076,4595.381208478331,312.2191331060137
43,59376.87205265067,3621.7599471685644,695.81920229934,,,,,,,59519.441012970965,4570.547295159761,305.6857450388746
44,59376.87723480334,3472.6762423642067,715.3185888833478,,,,,,,59522.431542104176,3495.4128440366985,399.77283135510544
