,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy
33,59751.301846659575,915.3051047239098,170.70943638857457,59750.28884269555,1683.9372083156554,150.895510439905,59751.30402204389,1544.7675473066922,329.3003542149442
34,59759.26882915982,987.5691359144076,117.55251607763876,59750.29295175481,1840.5091217649551,177.89049608750253,59751.3124818718,1595.7922737440301,266.0616579330528
35,59759.28550710625,1040.1305648744221,112.6381112568891,59750.297060814075,1807.0598218073821,174.96891783947905,59759.26689548487,2534.3086875037784,367.77134315058555
36,59759.29396693416,1032.0790642850668,98.71291986365539,59750.30141158271,1953.907509546033,166.14202833632632,59759.271004544134,2788.585937972311,377.1834614493624
37,59759.29807599342,960.9393417354249,94.03121442132276,59751.27767572271,1416.8349596945268,204.31351617955485,59759.2751136034,3065.4434435644757,403.311418827921
38,59762.25949917819,937.9091486082148,65.34408964141508,59751.30281349705,1180.466694951209,296.6078398888201,59759.27946437203,3056.616891360861,429.8418878328813
39,59762.26457507493,935.0711759905705,64.89411714501176,59751.30716426569,1222.6728892660162,263.57695125213854,59759.283573431305,3292.8783024000963,427.46248818260045
40,59762.26868413419,887.2064557076799,59.189084866914364,59751.31127332496,1544.6075519728467,160.41493475784384,59759.28768249057,3010.126352699353,446.0214095205689
41,59762.272793193464,960.2230483271378,64.1580449468408,59751.31538238422,1162.1722528638097,231.71348059197993,59759.29179154984,3135.4210749047816,383.6482955214475
42,59762.2771439621,820.6909057938165,58.65448751820642,59759.26544522866,2055.562155282138,170.10550126280222,59759.296142318475,2851.308868871289,311.095912211348
43,59762.28125302136,996.8084141807963,63.87947956804577,59759.269795997294,1872.6007636826473,167.41102459990677,59759.30025137774,2904.268182092981,414.77007212218376
44,59762.285362080635,839.1966633420983,56.5920563118497,59759.27390505656,1951.8879932117097,168.8339825834691,59759.304602146374,3104.1351792515566,439.8031866572557
45,59762.28971284927,945.3622268564695,64.15455087986821,59759.27825582519,1779.346627068307,186.84143128037152,59762.262641399975,2919.5937367752854,238.0074502514702
46,59762.29382190853,844.5371293861639,58.62381276606949,59759.282364884464,1775.6809503606278,197.06007679753023,59762.26675045925,2990.6595731817906,209.0957391176181
47,59762.297930967805,955.8255508205641,59.94124116903336,59759.28647394373,1930.2333474756042,189.84586641040835,59762.27085951851,2902.1522277975937,198.25120923916015
48,,,,59759.290583003,1824.7772592278318,190.94344880527717,59762.27496857778,3041.230880841545,210.61289750185628
49,,,,59759.294933771635,1958.2520152736527,159.77618313355663,59762.27931934642,2701.2877093283355,212.6690183934776
50,,,,59759.2990428309,1925.0233347475603,171.16442474458847,59762.28342840568,3062.5113354694395,191.13948218965845
51,,,,59759.30339359953,2143.6062791684344,206.45552303939985,59762.28753746495,2894.4138806601777,203.13156752663235
52,,,,59762.260466015665,1757.4713619007211,105.16417063062282,59762.29188823359,2947.7057009854298,208.2092494385781
53,,,,59762.265541912406,2001.6801018243527,100.8890540250526,59762.29599729285,2981.1680067710536,194.1620636380429
54,,,,59762.26965097167,1911.938905388205,99.08433719132188,59762.30010635212,2939.9371259295085,203.32305381631247
55,,,,59762.27376003094,1971.5400933389901,98.74677805342368,,,
56,,,,59762.278110799576,1891.0309715740345,99.93470316565902,,,
57,,,,59762.28221985884,1956.554942723801,96.8271937076634,,,
58,,,,59762.28632891811,1749.4781501909206,88.72561032364776,,,
59,,,,59762.29067968675,1933.780229104794,107.35858683434324,,,
60,,,,59762.29478874601,1940.4666949512089,94.79130003246375,,,
61,,,,59762.29889780528,2016.4276622825623,102.2574533177082,,,
