,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
25,59375.15709156194,1196.7765567765564,197.5357323688101,59375.140260323155,1411.6831820386667,193.66279800971972,59383.967512238545,1099.8558870154202,164.82200558798664,,,
26,59381.19389587073,1088.937728937728,227.97108724638352,59375.140260323155,1482.12182107962,193.1186085486696,59383.9730752114,1226.142095402796,150.0451586028818,,,
27,59381.19950628366,1134.5054945054944,236.64924349537498,59375.14587073609,1905.1694269281406,199.83443868166086,59383.97863818425,1106.787721573714,165.86561973838846,,,
28,59384.1000897666,1032.9670329670334,149.14474786199366,59375.15148114901,1870.833622063613,196.57308227000388,59383.9842011571,1192.9961089494166,156.343612136614,,,
29,59384.10570017953,1170.1098901098885,152.88183888361476,59375.15148114901,2060.182939505232,208.96353270144766,59383.989764129954,1329.615218331172,152.97300922071946,,,
30,59384.11131059246,1252.4542124542113,154.60055525528296,59375.15709156194,2359.8849698565587,202.22548538074972,59383.995327102806,1405.7789306816546,161.20513011883676,,,
31,59384.116921005385,1286.8864468864467,156.71011445975967,59378.085727109516,2201.3373986556717,346.10260815470167,59383.995327102806,1248.9407695633379,157.04170331114287,,,
32,59384.116921005385,1260.80586080586,148.96152752320998,59378.09133752244,2213.464070403991,309.46189673830145,59384.00089007566,1149.4163424124515,153.51769648765585,,,
33,59384.12253141831,1342.2710622710601,163.9462815717544,59378.09133752244,2331.855034301157,337.90080753788857,59384.00645304851,926.1132728058799,163.16240661682073,,,
34,59384.128141831236,1442.4908424908408,152.75608059011628,59378.096947935366,2175.074492412168,311.68968324131845,59523.692701379616,1256.636402939905,221.01601884770724,,,
35,59384.128141831236,1370.40293040293,146.52122420386902,59378.10816876122,2135.125770909847,444.808155881296,59523.70382732533,1204.0207522697797,200.0283864439721,,,
36,59384.13375224416,1469.5970695970682,154.53226976688674,59381.19389587073,1882.5098745755663,222.94820127962524,59710.063417890524,1130.0187346879957,151.63890732099873,,,
